sample	annotator	earth	mars	mercury	neptune	pluto	jupiter	saturn	uranus	venus
rwk_digbib_1014-1.tsv	2	x					x			
rwk_digbib_1017-1.tsv	2		x						x	
rwk_digbib_1019-3.tsv	2		x				x			
rwk_digbib_1020-2.tsv	2							x	x	
rwk_digbib_1020-3.tsv	2						x	x		
rwk_digbib_1029-1.tsv	2						x	x		
rwk_digbib_1038-2.tsv	2		x						x	
rwk_digbib_1039-1.tsv	7	x	x		x	x	x	x	x	
rwk_digbib_1040-1.tsv	2						x	x		
rwk_digbib_1041-1.tsv	2			x				x		
rwk_digbib_1042-1.tsv	2						x			x
rwk_digbib_1057-1.tsv	7	x	x		x	x	x	x	x	
rwk_digbib_1133-1.tsv	2						x	x		
rwk_digbib_1134-1.tsv	1						x			
rwk_digbib_1135-1.tsv	2						x			x
rwk_digbib_1135-2.tsv	2						x	x		
rwk_digbib_1135-3.tsv	2		x						x	
rwk_digbib_1136-1.tsv	2						x			x
rwk_digbib_1136-3.tsv	2						x	x		
rwk_digbib_1140-1.tsv	2							x	x	
rwk_digbib_1140-2.tsv	2			x				x		
rwk_digbib_1141-1.tsv	2						x	x		
rwk_digbib_1142-1.tsv	2						x			x
rwk_digbib_1143-2.tsv	2		x						x	
rwk_digbib_1144-1.tsv	2	x					x			
rwk_digbib_1145-2.tsv	2		x					x		
rwk_digbib_1145-3.tsv	2						x	x		
rwk_digbib_1145-4.tsv	2			x				x		
rwk_digbib_1147-1.tsv	2						x			x
rwk_digbib_1147-2.tsv	2		x					x		
rwk_digbib_1148-2.tsv	2						x	x		
rwk_digbib_1148-3.tsv	2		x				x			
rwk_digbib_1149-1.tsv	2	x					x			
rwk_digbib_1150-3.tsv	2		x				x			
rwk_digbib_1152-1.tsv	2		x						x	
rwk_digbib_1153-1.tsv	2			x		x				
rwk_digbib_1153-2.tsv	2						x	x		
rwk_digbib_1153-3.tsv	2		x						x	
rwk_digbib_1159-1.tsv	2			x			x			
rwk_digbib_1159-2.tsv	2		x					x		
rwk_digbib_1160-2.tsv	2		x					x		
rwk_digbib_1160-3.tsv	2		x				x			
rwk_digbib_1162-1.tsv	2			x			x			
rwk_digbib_1165-1.tsv	2	x					x			
rwk_digbib_1165-2.tsv	2		x						x	
rwk_digbib_1166-1.tsv	2		x						x	
rwk_digbib_1167-2.tsv	2		x					x		
rwk_digbib_1168-2.tsv	2		x					x		
rwk_digbib_1168-3.tsv	2		x						x	
rwk_digbib_1170-1.tsv	2	x					x			
rwk_digbib_1170-2.tsv	2		x					x		
rwk_digbib_1171-1.tsv	2		x						x	
rwk_digbib_1176-1.tsv	2			x			x			
rwk_digbib_1179-1.tsv	2		x					x		
rwk_digbib_1181-2.tsv	2		x					x		
rwk_digbib_1181-3.tsv	2		x						x	
rwk_digbib_1184-2.tsv	2		x					x		
rwk_digbib_1185-1.tsv	2		x					x		
rwk_digbib_1186-1.tsv	2		x					x		
rwk_digbib_1191-1.tsv	2		x				x			
rwk_digbib_1191-2.tsv	2		x				x			
rwk_digbib_1194-1.tsv	2			x			x			
rwk_digbib_1194-3.tsv	2		x						x	
rwk_digbib_1196-1.tsv	2			x			x			
rwk_digbib_1196-2.tsv	2		x				x			
rwk_digbib_1197-2.tsv	2		x					x		
rwk_digbib_1198-1.tsv	2		x				x			
rwk_digbib_1199-2.tsv	2		x						x	
rwk_digbib_1199-3.tsv	2		x						x	
rwk_digbib_1201-2.tsv	2		x						x	
rwk_digbib_1201-3.tsv	2		x						x	
rwk_digbib_1202-1.tsv	2		x				x			
rwk_digbib_1202-2.tsv	2		x						x	
rwk_digbib_1204-1.tsv	2		x						x	
rwk_digbib_1205-2.tsv	2		x						x	
rwk_digbib_1205-3.tsv	2		x						x	
rwk_digbib_1207-1.tsv	2	x					x			
rwk_digbib_1209-2.tsv	2							x	x	
rwk_digbib_1211-1.tsv	2		x				x			
rwk_digbib_1211-2.tsv	2		x				x			
rwk_digbib_1217-1.tsv	2		x				x			
rwk_digbib_1217-2.tsv	2		x					x		
rwk_digbib_1217-3.tsv	2		x						x	
rwk_digbib_1218-1.tsv	2		x				x			
rwk_digbib_1218-2.tsv	2						x		x	
rwk_digbib_1220-2.tsv	2		x						x	
rwk_digbib_1221-1.tsv	2						x	x		
rwk_digbib_1221-2.tsv	2		x				x			
rwk_digbib_1221-3.tsv	2		x						x	
rwk_digbib_1223-1.tsv	2		x				x			
rwk_digbib_1223-3.tsv	2		x						x	
rwk_digbib_1225-1.tsv	2		x				x			
rwk_digbib_1225-2.tsv	2		x						x	
rwk_digbib_1226-1.tsv	2		x				x			
rwk_digbib_1230-1.tsv	2		x						x	
rwk_digbib_1290-1.tsv	2			x			x			
rwk_digbib_1299-1.tsv	1	x								
rwk_digbib_1311-1.tsv	2	x					x			
rwk_digbib_1313-1.tsv	2						x		x	
rwk_digbib_1319-1.tsv	2						x	x		
rwk_digbib_1321-1.tsv	2						x		x	
rwk_digbib_1324-1.tsv	2			x			x			
rwk_digbib_1325-1.tsv	2		x				x			
rwk_digbib_1328-1.tsv	2		x				x			
rwk_digbib_1328-2.tsv	2		x				x			
rwk_digbib_1328-3.tsv	2						x		x	
rwk_digbib_1328-4.tsv	2			x				x		
rwk_digbib_1329-1.tsv	2		x				x			
rwk_digbib_1329-2.tsv	2						x	x		
rwk_digbib_1329-3.tsv	2		x						x	
rwk_digbib_1330-1.tsv	2	x					x			
rwk_digbib_1330-2.tsv	2						x	x		
rwk_digbib_1330-3.tsv	2			x				x		
rwk_digbib_1333-1.tsv	2						x	x		
rwk_digbib_1335-1.tsv	2			x			x			
rwk_digbib_1340-1.tsv	2		x						x	
rwk_digbib_1342-1.tsv	2	x					x			
rwk_digbib_1342-2.tsv	2						x		x	
rwk_digbib_1343-1.tsv	2			x			x			
rwk_digbib_1345-1.tsv	2	x					x			
rwk_digbib_1345-2.tsv	2						x	x		
rwk_digbib_1345-3.tsv	2		x						x	
rwk_digbib_1346-1.tsv	2			x				x		
rwk_digbib_1352-1.tsv	2	x					x			
rwk_digbib_1359-1.tsv	2						x	x		
rwk_digbib_1364-1.tsv	2		x					x		
rwk_digbib_1368-1.tsv	2						x		x	
rwk_digbib_1389-1.tsv	2	x					x			
rwk_digbib_1498-1.tsv	2						x		x	
rwk_digbib_1508-1.tsv	2						x	x		
rwk_digbib_1525-1.tsv	2						x		x	
rwk_digbib_1609-1.tsv	2		x				x			
rwk_digbib_1851-1.tsv	2		x					x		
rwk_digbib_1865-1.tsv	2			x			x			
rwk_digbib_1865-2.tsv	2		x	x						
rwk_digbib_1866-1.tsv	2		x					x		
rwk_digbib_1867-1.tsv	2						x		x	
rwk_digbib_1868-1.tsv	2		x					x		
rwk_digbib_1868-2.tsv	2		x					x		
rwk_digbib_1869-1.tsv	2		x					x		
rwk_digbib_1869-2.tsv	2			x			x			
rwk_digbib_1869-3.tsv	2						x		x	
rwk_digbib_1870-1.tsv	2						x		x	
rwk_digbib_1871-1.tsv	2		x					x		
rwk_digbib_1872-1.tsv	2							x	x	
rwk_digbib_1877-1.tsv	2		x				x			
rwk_digbib_1885-1.tsv	2						x		x	
rwk_digbib_1885-2.tsv	2								x	x
rwk_digbib_1886-1.tsv	2		x					x		
rwk_digbib_1887-1.tsv	2						x		x	
rwk_digbib_1888-1.tsv	2	x					x			
rwk_digbib_1890-1.tsv	2		x					x		
rwk_digbib_1891-1.tsv	2		x					x		
rwk_digbib_1892-1.tsv	2						x	x		
rwk_digbib_1892-2.tsv	2						x		x	
rwk_digbib_1897-1.tsv	2		x				x			
rwk_digbib_1966-1.tsv	2			x			x			
rwk_digbib_1966-3.tsv	2		x						x	
rwk_digbib_1967-1.tsv	2						x		x	
rwk_digbib_1967-2.tsv	2			x					x	
rwk_digbib_1968-1.tsv	2			x			x			
rwk_digbib_1968-2.tsv	2			x					x	
rwk_digbib_1992-1.tsv	2						x		x	
rwk_digbib_1995-1.tsv	2		x					x		
rwk_digbib_201-1.tsv	2		x						x	
rwk_digbib_2012-1.tsv	2		x				x			
rwk_digbib_2013-1.tsv	2		x						x	
rwk_digbib_2025-1.tsv	2						x		x	
rwk_digbib_2027-1.tsv	2	x					x			
rwk_digbib_2027-2.tsv	2		x					x		
rwk_digbib_2027-3.tsv	2		x						x	
rwk_digbib_2028-3.tsv	2						x		x	
rwk_digbib_2028-4.tsv	2			x					x	
rwk_digbib_2030-1.tsv	2			x				x		
rwk_digbib_2031-1.tsv	2						x		x	
rwk_digbib_205-1.tsv	2						x			x
rwk_digbib_2387-1.tsv	2		x					x		
rwk_digbib_2392-1.tsv	2			x				x		
rwk_digbib_2396-1.tsv	2		x				x			
rwk_digbib_2444-1.tsv	2		x					x		
rwk_digbib_2444-2.tsv	2		x					x		
rwk_digbib_2444-3.tsv	2							x	x	
rwk_digbib_2445-1.tsv	2							x	x	
rwk_digbib_2450-1.tsv	2	x					x			
rwk_digbib_245-1.tsv	2	x					x			
rwk_digbib_2451-1.tsv	2		x					x		
rwk_digbib_2455-1.tsv	2			x				x		
rwk_digbib_2462-1.tsv	2						x	x		
rwk_digbib_2463-1.tsv	2		x					x		
rwk_digbib_2466-1.tsv	2	x					x			
rwk_digbib_2469-1.tsv	2			x				x		
rwk_digbib_2477-1.tsv	2							x	x	
rwk_digbib_2564-1.tsv	2		x	x						
rwk_digbib_2607-1.tsv	2		x				x			
rwk_digbib_2618-1.tsv	2						x	x		
rwk_digbib_2621-1.tsv	2	x					x			
rwk_digbib_2621-3.tsv	2			x					x	
rwk_digbib_2622-1.tsv	2	x					x			
rwk_digbib_2623-1.tsv	2		x					x		
rwk_digbib_2623-2.tsv	2			x					x	
rwk_digbib_2624-1.tsv	2						x	x		
rwk_digbib_2625-1.tsv	2		x					x		
rwk_digbib_2625-2.tsv	2						x	x		
rwk_digbib_2625-3.tsv	2			x					x	
rwk_digbib_2626-1.tsv	2	x					x			
rwk_digbib_2626-2.tsv	2						x	x		
rwk_digbib_2626-3.tsv	2		x	x						
rwk_digbib_2626-4.tsv	2			x					x	
rwk_digbib_2628-2.tsv	2						x	x		
rwk_digbib_2629-1.tsv	2							x	x	
rwk_digbib_2630-1.tsv	2							x	x	
rwk_digbib_2636-1.tsv	2		x					x		
rwk_digbib_2638-1.tsv	2			x					x	
rwk_digbib_2647-1.tsv	2		x					x		
rwk_digbib_2650-1.tsv	2	x					x			
rwk_digbib_2650-2.tsv	2						x	x		
rwk_digbib_2653-1.tsv	2		x	x						
rwk_digbib_2655-1.tsv	2		x					x		
rwk_digbib_2671-1.tsv	2	x					x			
rwk_digbib_2692-1.tsv	2						x	x		
rwk_digbib_2701-1.tsv	2						x	x		
rwk_digbib_2701-2.tsv	2			x					x	
rwk_digbib_2768-1.tsv	2		x					x		
rwk_digbib_2793-1.tsv	2		x					x		
rwk_digbib_2801-2.tsv	2		x					x		
rwk_digbib_2801-3.tsv	2						x	x		
rwk_digbib_2802-1.tsv	2						x	x		
rwk_digbib_2812-1.tsv	2			x					x	
rwk_digbib_2817-1.tsv	2			x					x	
rwk_digbib_2823-1.tsv	2		x				x			
rwk_digbib_2823-2.tsv	2						x	x		
rwk_digbib_2823-3.tsv	2		x	x						
rwk_digbib_2823-4.tsv	2			x					x	
rwk_digbib_2824-1.tsv	2	x					x			
rwk_digbib_2824-2.tsv	2						x	x		
rwk_digbib_2824-3.tsv	2		x	x						
rwk_digbib_2846-1.tsv	2						x	x		
rwk_digbib_2847-1.tsv	2						x	x		
rwk_digbib_2958-1.tsv	2		x	x						
rwk_digbib_2996-1.tsv	2			x				x		
rwk_digbib_300-1.tsv	6	x	x		x	x	x	x		
rwk_digbib_3002-1.tsv	2						x	x		
rwk_digbib_3003-1.tsv	2							x	x	
rwk_digbib_3005-1.tsv	2		x	x						
rwk_digbib_3006-1.tsv	2		x					x		
rwk_digbib_3012-1.tsv	2						x	x		
rwk_digbib_3015-1.tsv	2	x					x			
rwk_digbib_3016-1.tsv	2		x					x		
rwk_digbib_3018-1.tsv	2	x					x			
rwk_digbib_3018-2.tsv	2		x					x		
rwk_digbib_3020-1.tsv	2		x	x						
rwk_digbib_3021-1.tsv	2		x					x		
rwk_digbib_3027-1.tsv	2		x				x			
rwk_digbib_3027-2.tsv	2		x					x		
rwk_digbib_3030-1.tsv	2						x	x		
rwk_digbib_3034-1.tsv	2		x					x		
rwk_digbib_3038-1.tsv	2			x				x		
rwk_digbib_3039-1.tsv	2		x					x		
rwk_digbib_3039-2.tsv	2		x	x						
rwk_digbib_3056-1.tsv	2			x				x		
rwk_digbib_3076-1.tsv	2		x					x		
rwk_digbib_3090-1.tsv	2							x	x	
rwk_digbib_3101-1.tsv	2		x	x						
rwk_digbib_3104-1.tsv	2						x	x		
rwk_digbib_3109-1.tsv	2						x	x		
rwk_digbib_3111-1.tsv	2							x	x	
rwk_digbib_3117-1.tsv	2		x	x						
rwk_digbib_3125-1.tsv	2		x					x		
rwk_digbib_3126-1.tsv	2						x	x		
rwk_digbib_3130-1.tsv	2						x	x		
rwk_digbib_3130-2.tsv	2		x	x						
rwk_digbib_3131-1.tsv	2						x	x		
rwk_digbib_3131-2.tsv	2		x					x		
rwk_digbib_3132-1.tsv	2		x					x		
rwk_digbib_3132-2.tsv	2			x					x	
rwk_digbib_3136-1.tsv	2						x	x		
rwk_digbib_3137-1.tsv	2							x	x	
rwk_digbib_3143-2.tsv	2		x					x		
rwk_digbib_3145-1.tsv	2						x	x		
rwk_digbib_3146-1.tsv	2		x					x		
rwk_digbib_3147-1.tsv	2						x	x		
rwk_digbib_3151-1.tsv	2		x					x		
rwk_digbib_3153-1.tsv	2		x					x		
rwk_digbib_3159-1.tsv	2		x					x		
rwk_digbib_3161-1.tsv	2			x				x		
rwk_digbib_3163-1.tsv	2						x	x		
rwk_digbib_3164-1.tsv	2		x	x						
rwk_digbib_3166-1.tsv	2	x					x			
rwk_digbib_3167-1.tsv	2	x					x			
rwk_digbib_3167-2.tsv	2						x	x		
rwk_digbib_3168-2.tsv	2		x				x			
rwk_digbib_3173-1.tsv	2			x				x		
rwk_digbib_3183-2.tsv	2		x					x		
rwk_digbib_3183-3.tsv	2			x				x		
rwk_digbib_3185-1.tsv	2							x	x	
rwk_digbib_3186-1.tsv	2		x					x		
rwk_digbib_3186-2.tsv	2						x	x		
rwk_digbib_3187-1.tsv	2		x	x						
rwk_digbib_3188-2.tsv	2							x	x	
rwk_digbib_3198-1.tsv	2		x					x		
rwk_digbib_3199-1.tsv	2			x				x		
rwk_digbib_3202-1.tsv	2						x	x		
rwk_digbib_3208-1.tsv	2		x				x			
rwk_digbib_3211-1.tsv	2						x	x		
rwk_digbib_3212-1.tsv	2						x	x		
rwk_digbib_3212-2.tsv	2			x					x	
rwk_digbib_3213-1.tsv	2						x	x		
rwk_digbib_3213-2.tsv	2			x				x		
rwk_digbib_3215-1.tsv	2			x				x		
rwk_digbib_3216-1.tsv	2						x	x		
rwk_digbib_3219-1.tsv	2						x	x		
rwk_digbib_3219-2.tsv	2		x				x			
rwk_digbib_3220-1.tsv	2						x	x		
rwk_digbib_3220-2.tsv	2		x				x			
rwk_digbib_3220-3.tsv	2			x				x		
rwk_digbib_3230-1.tsv	2		x					x		
rwk_digbib_3242-1.tsv	2	x					x			
rwk_digbib_3244-1.tsv	2		x				x			
rwk_digbib_3247-1.tsv	2						x	x		
rwk_digbib_3251-1.tsv	2		x					x		
rwk_digbib_3252-1.tsv	2			x					x	
rwk_digbib_3269-1.tsv	2						x	x		
rwk_digbib_3280-1.tsv	2	x					x			
rwk_digbib_3286-1.tsv	2			x				x		
rwk_digbib_3303-1.tsv	2	x					x			
rwk_digbib_3304-1.tsv	2			x					x	
rwk_digbib_3338-1.tsv	2						x	x		
rwk_digbib_3343-1.tsv	2		x				x			
rwk_digbib_384-1.tsv	2			x				x		
rwk_digbib_517-1.tsv	2		x						x	
rwk_digbib_622-1.tsv	2	x					x			
rwk_digbib_633-1.tsv	2						x			x
rwk_digbib_660-1.tsv	2	x					x			
rwk_digbib_787-1.tsv	2						x			x
rwk_digbib_855-1.tsv	2		x						x	
rwk_digbib_930-1.tsv	2	x					x			
rwk_digbib_934-2.tsv	2		x						x	
rwk_digbib_935-1.tsv	1						x			
rwk_digbib_936-1.tsv	2						x			x
rwk_digbib_945-1.tsv	2			x					x	
rwk_digbib_946-1.tsv	2	x					x			
rwk_digbib_981-1.tsv	2	x					x			
rwk_grenz_10402-1.tsv	2	x					x			
rwk_grenz_10605-1.tsv	2			x				x		
rwk_grenz_10762-1.tsv	2						x	x		
rwk_grenz_10819-1.tsv	2			x					x	
rwk_grenz_10959-1.tsv	2	x					x			
rwk_grenz_1108-1.tsv	2						x	x		
rwk_grenz_11238-1.tsv	2	x					x			
rwk_grenz_11238-2.tsv	2						x		x	
rwk_grenz_1140-1.tsv	2						x	x		
rwk_grenz_11530-1.tsv	2						x		x	
rwk_grenz_11760-1.tsv	2			x					x	
rwk_grenz_11903-1.tsv	2	x					x			
rwk_grenz_12190-1.tsv	2						x		x	
rwk_grenz_12200-1.tsv	2						x	x		
rwk_grenz_12266-1.tsv	2		x					x		
rwk_grenz_12289-1.tsv	2		x					x		
rwk_grenz_12346-1.tsv	2		x					x		
rwk_grenz_12920-1.tsv	2			x				x		
rwk_grenz_1322-1.tsv	2	x					x			
rwk_grenz_13462-1.tsv	2	x					x			
rwk_grenz_13812-1.tsv	2			x				x		
rwk_grenz_13858-1.tsv	2						x		x	
rwk_grenz_13947-1.tsv	2	x					x			
rwk_grenz_14432-1.tsv	2						x		x	
rwk_grenz_14699-1.tsv	2	x					x			
rwk_grenz_14802-1.tsv	2			x					x	
rwk_grenz_1482-1.tsv	2	x					x			
rwk_grenz_14861-1.tsv	2			x					x	
rwk_grenz_14935-1.tsv	2	x					x			
rwk_grenz_15007-1.tsv	2						x	x		
rwk_grenz_15360-1.tsv	2						x	x		
rwk_grenz_15484-1.tsv	2			x				x		
rwk_grenz_15490-1.tsv	2			x					x	
rwk_grenz_15654-1.tsv	2						x	x		
rwk_grenz_15834-1.tsv	2						x	x		
rwk_grenz_1591-1.tsv	2	x					x			
rwk_grenz_16046-1.tsv	2						x		x	
rwk_grenz_16079-1.tsv	2			x				x		
rwk_grenz_1618-1.tsv	2			x					x	
rwk_grenz_16257-1.tsv	2	x					x			
rwk_grenz_16296-1.tsv	2			x					x	
rwk_grenz_16351-1.tsv	2	x					x			
rwk_grenz_16524-1.tsv	2	x					x			
rwk_grenz_16588-1.tsv	2						x	x		
rwk_grenz_16828-1.tsv	2						x		x	
rwk_grenz_16935-1.tsv	2						x	x		
rwk_grenz_17048-1.tsv	2						x	x		
rwk_grenz_17349-1.tsv	2			x				x		
rwk_grenz_17383-1.tsv	2						x	x		
rwk_grenz_17626-1.tsv	2						x	x		
rwk_grenz_18070-1.tsv	2	x					x			
rwk_grenz_18080-1.tsv	2			x					x	
rwk_grenz_18315-1.tsv	2		x				x			
rwk_grenz_18324-1.tsv	2		x				x			
rwk_grenz_18324-2.tsv	2						x	x		
rwk_grenz_18522-1.tsv	2		x					x		
rwk_grenz_18701-1.tsv	2						x	x		
rwk_grenz_19033-1.tsv	2		x					x		
rwk_grenz_19164-1.tsv	2		x					x		
rwk_grenz_1920-1.tsv	2			x					x	
rwk_grenz_19209-1.tsv	2	x					x			
rwk_grenz_19300-1.tsv	2						x	x		
rwk_grenz_19331-1.tsv	2			x					x	
rwk_grenz_19520-1.tsv	2	x					x			
rwk_grenz_19716-1.tsv	2						x	x		
rwk_grenz_19836-1.tsv	2	x					x			
rwk_grenz_200-1.tsv	2			x					x	
rwk_grenz_20079-1.tsv	2						x	x		
rwk_grenz_20204-1.tsv	2		x					x		
rwk_grenz_20517-1.tsv	2						x	x		
rwk_grenz_20816-1.tsv	2		x					x		
rwk_grenz_20829-1.tsv	2		x					x		
rwk_grenz_20961-1.tsv	2		x					x		
rwk_grenz_20988-1.tsv	2						x	x		
