sample	annotator	earth	mars	mercury	neptune	pluto	jupiter	saturn	uranus	venus
rwk_grenz_21002-1.tsv	2		x					x		
rwk_grenz_21102-1.tsv	2	x					x			
rwk_grenz_21204-1.tsv	2			x				x		
rwk_grenz_21346-1.tsv	2		x					x		
rwk_grenz_21469-1.tsv	2		x				x			
rwk_grenz_21534-1.tsv	2	x					x			
rwk_grenz_21780-1.tsv	2		x					x		
rwk_grenz_21900-1.tsv	2			x				x		
rwk_grenz_21969-1.tsv	2		x				x			
rwk_grenz_21976-1.tsv	2		x				x			
rwk_grenz_22075-1.tsv	2			x				x		
rwk_grenz_22091-1.tsv	2			x					x	
rwk_grenz_22136-1.tsv	2			x					x	
rwk_grenz_22414-1.tsv	2							x	x	
rwk_grenz_22456-1.tsv	2			x				x		
rwk_grenz_22484-1.tsv	2		x				x			
rwk_grenz_2262-1.tsv	2	x					x			
rwk_grenz_22637-1.tsv	2	x					x			
rwk_grenz_23014-1.tsv	2		x				x			
rwk_grenz_23276-1.tsv	2	x					x			
rwk_grenz_23388-1.tsv	2		x					x		
rwk_grenz_23465-1.tsv	2			x				x		
rwk_grenz_23586-1.tsv	2	x					x			
rwk_grenz_24-1.tsv	2	x					x			
rwk_grenz_24-2.tsv	2		x				x			
rwk_grenz_24314-1.tsv	2		x					x		
rwk_grenz_24351-1.tsv	2	x					x			
rwk_grenz_2481-1.tsv	2	x					x			
rwk_grenz_2866-1.tsv	2						x	x		
rwk_grenz_3019-1.tsv	2						x	x		
rwk_grenz_3108-1.tsv	2		x				x			
rwk_grenz_3157-1.tsv	2		x					x		
rwk_grenz_3168-1.tsv	2		x					x		
rwk_grenz_317-1.tsv	2	x					x			
rwk_grenz_3240-1.tsv	2		x					x		
rwk_grenz_337-1.tsv	2							x	x	
rwk_grenz_3493-1.tsv	2		x					x		
rwk_grenz_3633-1.tsv	2	x					x			
rwk_grenz_3633-2.tsv	2		x					x		
rwk_grenz_3732-1.tsv	2	x					x			
rwk_grenz_375-1.tsv	2			x					x	
rwk_grenz_3867-1.tsv	2		x				x			
rwk_grenz_4004-1.tsv	2	x					x			
rwk_grenz_4101-1.tsv	2			x				x		
rwk_grenz_4604-1.tsv	2		x					x		
rwk_grenz_4617-1.tsv	2			x					x	
rwk_grenz_4978-1.tsv	2	x					x			
rwk_grenz_517-1.tsv	2		x				x			
rwk_grenz_5313-1.tsv	2		x					x		
rwk_grenz_5375-1.tsv	2		x					x		
rwk_grenz_5382-1.tsv	2	x					x			
rwk_grenz_5403-1.tsv	2			x				x		
rwk_grenz_5486-1.tsv	2			x				x		
rwk_grenz_5743-1.tsv	2		x					x		
rwk_grenz_5912-1.tsv	2	x	x							
rwk_grenz_5912-2.tsv	2			x				x		
rwk_grenz_6044-1.tsv	2			x				x		
rwk_grenz_6262-1.tsv	2			x					x	
rwk_grenz_630-1.tsv	2			x					x	
rwk_grenz_6303-1.tsv	2		x				x			
rwk_grenz_6510-1.tsv	2	x					x			
rwk_grenz_6628-1.tsv	2		x					x		
rwk_grenz_7064-2.tsv	2			x				x		
rwk_grenz_7127-1.tsv	2	x					x			
rwk_grenz_7127-2.tsv	2		x					x		
rwk_grenz_7249-1.tsv	2			x				x		
rwk_grenz_7378-1.tsv	2			x				x		
rwk_grenz_7700-1.tsv	2			x					x	
rwk_grenz_773-1.tsv	2						x	x		
rwk_grenz_7914-1.tsv	2		x				x			
rwk_grenz_8110-1.tsv	2	x					x			
rwk_grenz_8287-1.tsv	2	x					x			
rwk_grenz_8348-1.tsv	2						x		x	
rwk_grenz_9076-1.tsv	2			x					x	
rwk_grenz_9676-1.tsv	2	x					x			
rwk_grenz_9742-1.tsv	3		x				x	x		
rwk_grenz_9881-1.tsv	2						x	x		
rwk_grenz_9977-1.tsv	2		x					x		
rwk_mkhz_10012-1.tsv	2						x		x	
rwk_mkhz_10015-1.tsv	2						x		x	
rwk_mkhz_10017-1.tsv	2						x		x	
rwk_mkhz_10021-1.tsv	2			x					x	
rwk_mkhz_10027-short.tsv	2		x					x		
rwk_mkhz_10030-1.tsv	2						x		x	
rwk_mkhz_10033-1.tsv	2		x					x		
rwk_mkhz_10036-short.tsv	2						x		x	
rwk_mkhz_10037-1.tsv	2			x					x	
rwk_mkhz_10039-1.tsv	2						x		x	
rwk_mkhz_10042-short.tsv	2						x		x	
rwk_mkhz_10052-1.tsv	2						x		x	
rwk_mkhz_10058-1.tsv	2			x					x	
rwk_mkhz_10070-1.tsv	2						x		x	
rwk_mkhz_10071-short.tsv	2			x				x		
rwk_mkhz_10113-short.tsv	2			x					x	
rwk_mkhz_1012-short.tsv	2		x					x		
rwk_mkhz_10135-1.tsv	2		x					x		
rwk_mkhz_10140-short.tsv	2		x					x		
rwk_mkhz_10146-1.tsv	2		x					x		
rwk_mkhz_10150-short.tsv	2		x	x						
rwk_mkhz_10151-short.tsv	2		x					x		
rwk_mkhz_10169-1.tsv	2			x				x		
rwk_mkhz_10175-short.tsv	2		x	x						
rwk_mkhz_10189-1.tsv	2		x				x			
rwk_mkhz_10200-1.tsv	2			x				x		
rwk_mkhz_10205-1.tsv	2		x				x			
rwk_mkhz_10207-short.tsv	2			x				x		
rwk_mkhz_10215-short.tsv	2		x				x			
rwk_mkhz_10217-short.tsv	2		x				x			
rwk_mkhz_10227-1.tsv	2		x				x			
rwk_mkhz_10233-1.tsv	2			x				x		
rwk_mkhz_10235-1.tsv	2		x				x			
rwk_mkhz_10245-short.tsv	2		x	x						
rwk_mkhz_10246-1.tsv	2		x				x			
rwk_mkhz_10252-short.tsv	2		x				x			
rwk_mkhz_10262-1.tsv	2		x				x			
rwk_mkhz_10267-1.tsv	2						x		x	
rwk_mkhz_10272-1.tsv	2		x	x						
rwk_mkhz_10287-1.tsv	2						x		x	
rwk_mkhz_10290-short.tsv	2		x	x						
rwk_mkhz_10294-1.tsv	2		x	x						
rwk_mkhz_10343-short.tsv	2						x		x	
rwk_mkhz_10346-1.tsv	2						x		x	
rwk_mkhz_10351-short.tsv	2						x		x	
rwk_mkhz_10352-1.tsv	2						x		x	
rwk_mkhz_10357-short.tsv	2						x		x	
rwk_mkhz_1037-1.tsv	2		x						x	
rwk_mkhz_10378-short.tsv	2							x	x	
rwk_mkhz_10379-1.tsv	2		x	x						
rwk_mkhz_10409-1.tsv	2							x	x	
rwk_mkhz_10423-1.tsv	2							x	x	
rwk_mkhz_10471-short.tsv	2							x	x	
rwk_mkhz_10498-1.tsv	2			x				x		
rwk_mkhz_10540-1.tsv	2						x		x	
rwk_mkhz_10554-1.tsv	2						x		x	
rwk_mkhz_10578-1.tsv	2			x					x	
rwk_mkhz_10713-1.tsv	2			x					x	
rwk_mkhz_10776-short.tsv	2		x						x	
rwk_mkhz_107-short.tsv	2	x					x			
rwk_mkhz_10834-1.tsv	2		x						x	
rwk_mkhz_10885-short.tsv	2		x						x	
rwk_mkhz_11021-1.tsv	2							x	x	
rwk_mkhz_11025-1.tsv	2							x	x	
rwk_mkhz_11030-1.tsv	2						x		x	
rwk_mkhz_11030-2.tsv	2			x					x	
rwk_mkhz_11031-1.tsv	2			x					x	
rwk_mkhz_11032-short.tsv	2			x					x	
rwk_mkhz_11034-1.tsv	2			x					x	
rwk_mkhz_11035-short.tsv	2							x	x	
rwk_mkhz_11036-1.tsv	2		x	x						
rwk_mkhz_11037-1.tsv	2							x	x	
rwk_mkhz_11037-2.tsv	2							x	x	
rwk_mkhz_11042-short.tsv	2							x	x	
rwk_mkhz_11060-1.tsv	2							x	x	
rwk_mkhz_11063-short.tsv	2			x					x	
rwk_mkhz_11069-short.tsv	2							x	x	
rwk_mkhz_11087-1.tsv	2							x	x	
rwk_mkhz_11094-1.tsv	2							x	x	
rwk_mkhz_11095-short.tsv	2							x	x	
rwk_mkhz_11096-short.tsv	2							x	x	
rwk_mkhz_11103-short.tsv	2							x	x	
rwk_mkhz_11107-short.tsv	2							x	x	
rwk_mkhz_11110-short.tsv	2							x	x	
rwk_mkhz_11119-short.tsv	2							x	x	
rwk_mkhz_11131-1.tsv	2							x	x	
rwk_mkhz_11144-1.tsv	2							x	x	
rwk_mkhz_11168-1.tsv	2							x	x	
rwk_mkhz_11182-1.tsv	2		x						x	
rwk_mkhz_11205-1.tsv	2		x	x						
rwk_mkhz_128-1.tsv	2	x					x			
rwk_mkhz_1349-1.tsv	2			x				x		
rwk_mkhz_1366-short.tsv	2		x				x			
rwk_mkhz_1374-short.tsv	2		x				x			
rwk_mkhz_140-1.tsv	2							x	x	
rwk_mkhz_1436-1.tsv	3		x					x	x	
rwk_mkhz_1440-short.tsv	2		x				x			
rwk_mkhz_1458-1.tsv	2	x					x			
rwk_mkhz_1536-1.tsv	2	x					x			
rwk_mkhz_154-1.tsv	2		x					x		
rwk_mkhz_1556-1.tsv	2						x	x		
rwk_mkhz_1580-1.tsv	2	x					x			
rwk_mkhz_1640-1.tsv	2		x					x		
rwk_mkhz_17-1.tsv	2						x	x		
rwk_mkhz_1710-1.tsv	2	x					x			
rwk_mkhz_176-1.tsv	2			x		x				
rwk_mkhz_178-1.tsv	2		x					x		
rwk_mkhz_1785-1.tsv	2		x					x		
rwk_mkhz_182-1.tsv	2						x	x		
rwk_mkhz_1832-short.tsv	2		x				x			
rwk_mkhz_20003-1.tsv	2						x		x	
rwk_mkhz_20013-short.tsv	2						x		x	
rwk_mkhz_20020-1.tsv	2		x	x						
rwk_mkhz_20022-short.tsv	2						x		x	
rwk_mkhz_20024-short.tsv	2						x		x	
rwk_mkhz_20036-short.tsv	2						x		x	
rwk_mkhz_20038-short.tsv	2						x		x	
rwk_mkhz_20044-1.tsv	2		x	x						
rwk_mkhz_20049-1.tsv	2						x		x	
rwk_mkhz_20056-1.tsv	2		x	x						
rwk_mkhz_20068-1.tsv	2		x	x						
rwk_mkhz_20069-1.tsv	2			x				x		
rwk_mkhz_20076-1.tsv	2							x	x	
rwk_mkhz_20081-short.tsv	2						x		x	
rwk_mkhz_20082-1.tsv	2						x		x	
rwk_mkhz_20084-short.tsv	2						x		x	
rwk_mkhz_20090-short.tsv	2			x					x	
rwk_mkhz_20094-1.tsv	2			x					x	
rwk_mkhz_20096-short.tsv	2		x						x	
rwk_mkhz_20104-1.tsv	2			x					x	
rwk_mkhz_20107-short.tsv	2							x	x	
rwk_mkhz_20112-1.tsv	2						x		x	
rwk_mkhz_20134-1.tsv	2		x	x						
rwk_mkhz_20137-1.tsv	2		x	x						
rwk_mkhz_20154-1.tsv	2						x		x	
rwk_mkhz_20156-1.tsv	2						x		x	
rwk_mkhz_20165-short.tsv	2		x				x			
rwk_mkhz_20186-1.tsv	2		x						x	
rwk_mkhz_20296-1.tsv	2			x					x	
rwk_mkhz_20433-1.tsv	2			x					x	
rwk_mkhz_20442-short.tsv	2		x						x	
rwk_mkhz_20480-short.tsv	2		x				x			
rwk_mkhz_20485-1.tsv	2		x				x			
rwk_mkhz_20490-1.tsv	2			x					x	
rwk_mkhz_20496-1.tsv	2		x				x			
rwk_mkhz_20508-1.tsv	2		x				x			
rwk_mkhz_20512-short.tsv	2			x					x	
rwk_mkhz_20540-short.tsv	2		x	x						
rwk_mkhz_20557-short.tsv	2		x				x			
rwk_mkhz_20561-short.tsv	2		x				x			
rwk_mkhz_20565-1.tsv	2		x				x			
rwk_mkhz_20567-short.tsv	2			x					x	
rwk_mkhz_20568-1.tsv	2			x					x	
rwk_mkhz_20573-short.tsv	2		x				x			
rwk_mkhz_20584-short.tsv	2		x				x			
rwk_mkhz_20588-1.tsv	2		x				x			
rwk_mkhz_20617-short.tsv	2			x					x	
rwk_mkhz_207-1.tsv	2			x				x		
rwk_mkhz_216-1.tsv	2		x					x		
rwk_mkhz_218-short.tsv	2						x	x		
rwk_mkhz_219-short.tsv	2			x		x				
rwk_mkhz_231-1.tsv	2	x					x			
rwk_mkhz_241-1.tsv	2			x				x		
rwk_mkhz_243-1.tsv	2		x					x		
rwk_mkhz_2460-short.tsv	2		x					x		
rwk_mkhz_2477-1.tsv	2		x				x			
rwk_mkhz_248-1.tsv	2						x	x		
rwk_mkhz_2500-1.tsv	2		x				x			
rwk_mkhz_252-1.tsv	2			x		x				
rwk_mkhz_2557-1.tsv	2		x					x		
rwk_mkhz_255-short.tsv	2		x					x		
rwk_mkhz_2562-1.tsv	2		x					x		
rwk_mkhz_2567-short.tsv	2			x				x		
rwk_mkhz_2735-1.tsv	2	x					x			
rwk_mkhz_2739-1.tsv	2						x		x	
rwk_mkhz_2740-1.tsv	2		x				x			
rwk_mkhz_2754-short.tsv	2						x	x		
rwk_mkhz_2756-1.tsv	2						x	x		
rwk_mkhz_2757-1.tsv	2	x					x			
rwk_mkhz_2767-1.tsv	2						x		x	
rwk_mkhz_2769-short.tsv	2	x					x			
rwk_mkhz_277-1.tsv	2			x		x				
rwk_mkhz_2776-short.tsv	2	x					x			
rwk_mkhz_2778-1.tsv	6	x	x		x	x	x	x		
rwk_mkhz_2781-short.tsv	2		x					x		
rwk_mkhz_2787-1.tsv	2	x						x		
rwk_mkhz_2789-1.tsv	2	x					x			
rwk_mkhz_2799-short.tsv	2		x				x			
rwk_mkhz_2802-1.tsv	2						x	x		
rwk_mkhz_2803-short.tsv	2		x				x			
rwk_mkhz_2804-short.tsv	2		x				x			
rwk_mkhz_2808-short.tsv	2		x				x			
rwk_mkhz_2810-1.tsv	2		x				x			
rwk_mkhz_2812-1.tsv	2						x		x	
rwk_mkhz_2815-1.tsv	2						x	x		
rwk_mkhz_2816-1.tsv	2						x	x		
rwk_mkhz_2843-1.tsv	2	x					x			
rwk_mkhz_2843-2.tsv	2						x		x	
rwk_mkhz_2847-1.tsv	2	x					x			
rwk_mkhz_2848-1.tsv	2		x				x			
rwk_mkhz_2848-2.tsv	2		x					x		
rwk_mkhz_2850-short.tsv	2		x					x		
rwk_mkhz_3132-1.tsv	2						x		x	
rwk_mkhz_3162-short.tsv	2		x				x			
rwk_mkhz_3246-1.tsv	2		x				x			
rwk_mkhz_3284-1.tsv	3		x				x	x		
rwk_mkhz_3297-short.tsv	2						x	x		
rwk_mkhz_3341-short.tsv	2		x					x		
rwk_mkhz_3412-short.tsv	2		x						x	
rwk_mkhz_3419-short.tsv	2			x				x		
rwk_mkhz_3469-short.tsv	2						x	x		
rwk_mkhz_3480-1.tsv	2		x						x	
rwk_mkhz_3537-short.tsv	2		x						x	
rwk_mkhz_3552-1.tsv	2		x					x		
rwk_mkhz_3556-short.tsv	2		x				x			
rwk_mkhz_3602-short.tsv	2						x	x		
rwk_mkhz_362-1.tsv	2	x					x			
rwk_mkhz_3637-short.tsv	2						x	x		
rwk_mkhz_3698-short.tsv	2		x					x		
rwk_mkhz_3702-short.tsv	2			x				x		
rwk_mkhz_372-1.tsv	2	x					x			
rwk_mkhz_3759-1.tsv	2		x					x		
rwk_mkhz_378-1.tsv	2			x		x				
rwk_mkhz_3809-1.tsv	2						x	x		
rwk_mkhz_3813-short.tsv	2		x					x		
rwk_mkhz_3909-short.tsv	2		x					x		
rwk_mkhz_3929-short.tsv	2						x		x	
rwk_mkhz_3952-short.tsv	2		x				x			
rwk_mkhz_4131-short.tsv	2		x					x		
rwk_mkhz_4136-1.tsv	2			x				x		
rwk_mkhz_4142-1.tsv	2						x		x	
rwk_mkhz_4299-1.tsv	2	x					x			
rwk_mkhz_4304-1.tsv	2		x					x		
rwk_mkhz_4375-short.tsv	2		x						x	
rwk_mkhz_4387-1.tsv	2		x				x			
rwk_mkhz_4519-short.tsv	2		x					x		
rwk_mkhz_4544-1.tsv	2		x					x		
rwk_mkhz_4555-1.tsv	2	x					x			
rwk_mkhz_4561-1.tsv	2		x					x		
rwk_mkhz_4565-1.tsv	2			x				x		
rwk_mkhz_5010-1.tsv	2		x				x			
rwk_mkhz_5019-1.tsv	2		x						x	
rwk_mkhz_5024-short.tsv	2		x					x		
rwk_mkhz_5092-1.tsv	2			x				x		
rwk_mkhz_5098-short.tsv	2		x				x			
rwk_mkhz_50-short.tsv	2						x	x		
rwk_mkhz_5102-1.tsv	2		x					x		
rwk_mkhz_5150-1.tsv	2		x					x		
rwk_mkhz_5169-short.tsv	2		x					x		
rwk_mkhz_5182-short.tsv	2		x						x	
rwk_mkhz_5235-short.tsv	2						x	x		
rwk_mkhz_5285-1.tsv	2		x					x		
rwk_mkhz_5402-1.tsv	2		x						x	
rwk_mkhz_5419-short.tsv	2		x						x	
rwk_mkhz_5454-short.tsv	2		x					x		
rwk_mkhz_5510-short.tsv	2		x				x			
rwk_mkhz_5520-1.tsv	2		x				x			
rwk_mkhz_5523-short.tsv	2		x				x			
rwk_mkhz_5544-short.tsv	2		x				x			
rwk_mkhz_5566-short.tsv	2						x	x		
rwk_mkhz_5595-short.tsv	2		x					x		
rwk_mkhz_5790-1.tsv	2							x	x	
rwk_mkhz_58-1.tsv	2			x				x		
rwk_mkhz_582-1.tsv	2		x					x		
rwk_mkhz_5826-short.tsv	2		x				x			
rwk_mkhz_5840-1.tsv	2						x	x		
rwk_mkhz_5848-short.tsv	2		x					x		
rwk_mkhz_5849-short.tsv	2						x	x		
rwk_mkhz_5858-1.tsv	2		x						x	
rwk_mkhz_5862-short.tsv	2		x					x		
rwk_mkhz_5878-short.tsv	2						x	x		
rwk_mkhz_5879-short.tsv	2						x	x		
rwk_mkhz_5885-short.tsv	2		x					x		
rwk_mkhz_5893-1.tsv	2						x	x		
rwk_mkhz_5928-1.tsv	2		x					x		
rwk_mkhz_593-1.tsv	2	x					x			
rwk_mkhz_593-2.tsv	2			x				x		
rwk_mkhz_5958-1.tsv	2							x	x	
rwk_mkhz_5964-short.tsv	2						x	x		
rwk_mkhz_5998-1.tsv	2						x	x		
rwk_mkhz_5-short.tsv	2			x		x				
rwk_mkhz_6008-1.tsv	2			x			x			
rwk_mkhz_6012-short.tsv	2	x					x			
rwk_mkhz_6047-1.tsv	2						x	x		
rwk_mkhz_6052-short.tsv	2		x					x		
rwk_mkhz_6078-short.tsv	2						x	x		
rwk_mkhz_6081-1.tsv	2	x					x			
rwk_mkhz_6109-1.tsv	2						x	x		
rwk_mkhz_6115-1.tsv	2		x					x		
rwk_mkhz_6126-1.tsv	2							x	x	
rwk_mkhz_6127-1.tsv	2			x				x		
rwk_mkhz_6129-1.tsv	2		x						x	
rwk_mkhz_6130-1.tsv	2		x					x		
rwk_mkhz_6131-1.tsv	2		x					x		
rwk_mkhz_6147-1.tsv	6	x	x		x	x	x	x		
rwk_mkhz_6156-1.tsv	2			x				x		
rwk_mkhz_6166-1.tsv	2			x			x			
rwk_mkhz_6177-1.tsv	2							x	x	
rwk_mkhz_6186-1.tsv	2	x					x			
rwk_mkhz_6190-1.tsv	2							x	x	
rwk_mkhz_6205-1.tsv	2							x	x	
rwk_mkhz_62-1.tsv	2	x					x			
rwk_mkhz_6237-short.tsv	2			x			x			
rwk_mkhz_6260-1.tsv	2	x					x			
rwk_mkhz_6260-2.tsv	2			x			x			
rwk_mkhz_6262-1.tsv	2						x	x		
rwk_mkhz_6263-1.tsv	6	x	x		x	x	x	x		
rwk_mkhz_6269-1.tsv	2							x	x	
rwk_mkhz_6274-1.tsv	2						x	x		
rwk_mkhz_6277-short.tsv	2			x			x			
rwk_mkhz_6281-1.tsv	2		x					x		
rwk_mkhz_6281-2.tsv	2			x				x		
rwk_mkhz_6288-2.tsv	2		x						x	
rwk_mkhz_6291-1.tsv	2			x			x			
rwk_mkhz_6294-1.tsv	2							x	x	
rwk_mkhz_6305-1.tsv	2		x					x		
rwk_mkhz_6319-1.tsv	2		x					x		
rwk_mkhz_6322-1.tsv	2			x				x		
rwk_mkhz_6323-short.tsv	2							x	x	
rwk_mkhz_6338-1.tsv	2		x					x		
rwk_mkhz_6347-1.tsv	2							x	x	
rwk_mkhz_6348-1.tsv	2			x			x			
rwk_mkhz_6351-1.tsv	2		x	x						
rwk_mkhz_6351-2.tsv	2			x					x	
rwk_mkhz_6360-1.tsv	3		x				x	x		
rwk_mkhz_6361-1.tsv	2	x					x			
rwk_mkhz_6365-short.tsv	2			x			x			
rwk_mkhz_6367-1.tsv	2	x					x			
rwk_mkhz_6376-1.tsv	2						x	x		
rwk_mkhz_6390-short.tsv	2							x	x	
rwk_mkhz_6396-1.tsv	2		x				x			
rwk_mkhz_6396-2.tsv	2		x	x						
rwk_mkhz_6398-short.tsv	2			x			x			
rwk_mkhz_6563-1.tsv	3		x				x	x		
rwk_mkhz_6646-1.tsv	2		x						x	
rwk_mkhz_6683-short.tsv	2			x			x			
rwk_mkhz_71-1.tsv	2			x		x				
rwk_mkhz_75-1.tsv	2		x					x		
rwk_mkhz_778-short.tsv	2			x		x				
rwk_mkhz_83-1.tsv	2			x		x				
rwk_mkhz_890-1.tsv	2						x	x		
rwk_mkhz_891-short.tsv	2		x					x		
rwk_mkhz_917-1.tsv	2			x		x				
rwk_mkhz_96-1.tsv	2						x	x		
