filename	author	title	year	decade
rwz_fi_digbib_167.tsv	Altenberg, Peter	Paulina	1901	1900
rwz_fi_digbib_934.tsv	Bjørnson, Bjørnstjerne	Synnöve Solbakken	1857	1850
rwz_fi_digbib_1019.tsv	?echov, Anton Pavlovi?	Die Dame mit dem Hündchen	1899	1890
rwz_fi_digbib_1023.tsv	Christ, Lena	Der Guldensack	1919	1910
rwz_fi_digbib_1038.tsv	Christen, Ada	Als er heimkehrte	1884	1880
rwz_fi_digbib_1133.tsv	Dohm, Hedwig	Werde, die Du bist!	1894	1890
rwz_fi_digbib_1134.tsv	Dohm, Hedwig	Wie Frauen werden	1894	1890
rwz_fi_digbib_1136.tsv	Droste-Hülshoff, Annette von	Die Judenbuche	1842	1840
rwz_fi_digbib_1138.tsv	Duncker, Dora	Für ihr Kind	1897	1890
rwz_fi_digbib_1139.tsv	Duncker, Dora	Gundula. Die Tragödie einer Ehe	1905	1900
rwz_fi_digbib_1140.tsv	Duncker, Dora	Jugend	1905	1900
rwz_fi_digbib_1141.tsv	Duncker, Dora	Mütter	1897	1890
rwz_fi_digbib_1142.tsv	Duncker, Dora	Seine Letzte	1905	1900
rwz_fi_digbib_1143.tsv	Duncker, Dora	Sturm	1897	1890
rwz_fi_digbib_1144.tsv	Duncker, Dora	Unüberwindlich	1905	1900
rwz_fi_digbib_1146.tsv	Ebner-Eschenbach, Marie von	Das Schädliche	1894	1890
rwz_fi_digbib_1147.tsv	Ebner-Eschenbach, Marie von	Der gute Mond	1884	1880
rwz_fi_digbib_1148.tsv	Ebner-Eschenbach, Marie von	Der Herr Hofrat	1915	1910
rwz_fi_digbib_1149.tsv	Ebner-Eschenbach, Marie von	Der Kreisphysikus	1883	1880
rwz_fi_digbib_1150.tsv	Ebner-Eschenbach, Marie von	Der Vorzugsschüler	1898	1890
rwz_fi_digbib_1153.tsv	Ebner-Eschenbach, Marie von	Ein Spätgeborner	1875	1870
rwz_fi_digbib_1155.tsv	Ebner-Eschenbach, Marie von	Ihr Traum	1887	1880
rwz_fi_digbib_1156.tsv	Ebner-Eschenbach, Marie von	Krambambuli	1883	1880
rwz_fi_digbib_1158.tsv	Ebner-Eschenbach, Marie von	Nach dem Tode	1881	1880
rwz_fi_digbib_1160.tsv	Essig, Hermann	Der Wetterfrosch	1919	1910
rwz_fi_digbib_1162.tsv	Federer, Heinrich	Der gestohlene König von Belgien	1911	1910
rwz_fi_digbib_1163.tsv	Federer, Heinrich	Die Manöver	1911	1910
rwz_fi_digbib_1164.tsv	Federer, Heinrich	Unser Nachtwächter Prometheus	1911	1910
rwz_fi_digbib_1165.tsv	Federer, Heinrich	Vater und Sohn im Examen	1911	1910
rwz_fi_digbib_1167.tsv	Fontane, Theodor	Grete Minde	1879	1870
rwz_fi_digbib_1171.tsv	Franzos, Karl Emil	Das Christusbild	1877	1870
rwz_fi_digbib_1172.tsv	Franzos, Karl Emil	"Das ""Kind der Sühne"""	1877	1870
rwz_fi_digbib_1173.tsv	Franzos, Karl Emil	Der Shylock von Barnow	1877	1870
rwz_fi_digbib_1174.tsv	Franzos, Karl Emil	Der wilde Starost und die schöne Jütta	1877	1870
rwz_fi_digbib_1177.tsv	Franzos, Karl Emil	Nach dem höheren Gesetz	1877	1870
rwz_fi_digbib_1178.tsv	Franzos, Karl Emil	Ohne Inschrift	1877	1870
rwz_fi_digbib_1182.tsv	François, Louise von	Der Posten der Frau	1857	1850
rwz_fi_digbib_1183.tsv	François, Louise von	Die Geschichte meines Urgroßvaters	1855	1850
rwz_fi_digbib_1185.tsv	François, Louise von	Phosphorus Hollunder	1857	1850
rwz_fi_digbib_1186.tsv	Frapan, Ilse	Altmodische Leute	1890	1890
rwz_fi_digbib_1189.tsv	Frapan, Ilse	Die Last	1890	1890
rwz_fi_digbib_1195.tsv	Gotthelf, Jeremias	Barthli der Korber	1852	1850
rwz_fi_digbib_1196.tsv	Gotthelf, Jeremias	Das Erdbeerimareili	1850	1850
rwz_fi_digbib_1197.tsv	Gotthelf, Jeremias	Die schwarze Spinne	1842	1840
rwz_fi_digbib_1199.tsv	Grillparzer, Franz	Der arme Spielmann	1847	1840
rwz_fi_digbib_1207.tsv	Heyking, Elisabeth von	Der Tag Anderer	1905	1900
rwz_fi_digbib_1208.tsv	Heyking, Elisabeth von	Gewesen	1905	1900
rwz_fi_digbib_1209.tsv	Heyking, Elisabeth von	Über einen Hund und die Monroe-Doktrin	1905	1900
rwz_fi_digbib_1211.tsv	Heym, Georg	Der Dieb	1913	1910
rwz_fi_digbib_1213.tsv	Heym, Georg	Der Irre	1913	1910
rwz_fi_digbib_1216.tsv	Heym, Georg	Jonathan	1913	1910
rwz_fi_digbib_1217.tsv	Heyse, Paul	Andrea Delfin	1862	1860
rwz_fi_digbib_1224.tsv	Holz, Arno	Der erste Schultag	1889	1880
rwz_fi_digbib_1225.tsv	Holz, Arno	Ein Tod	1889	1880
rwz_fi_digbib_1226.tsv	Holz, Arno	Papa Hamlet	1889	1880
rwz_fi_digbib_1313.tsv	Janitschek, Maria	Elias	1897	1890
rwz_fi_digbib_1315.tsv	Janitschek, Maria	Hysterie	1902	1900
rwz_fi_digbib_1316.tsv	Janitschek, Maria	In elfter Stunde	1895	1890
rwz_fi_digbib_1317.tsv	Janitschek, Maria	Kind Gottes	1897	1890
rwz_fi_digbib_1318.tsv	Janitschek, Maria	Klare Rechnung	1897	1890
rwz_fi_digbib_1319.tsv	Janitschek, Maria	Königin Judith	1895	1890
rwz_fi_digbib_1320.tsv	Janitschek, Maria	Land!	1897	1890
rwz_fi_digbib_1321.tsv	Janitschek, Maria	Liebeswunder	1900	1900
rwz_fi_digbib_1322.tsv	Janitschek, Maria	Lilienzauber	1895	1890
rwz_fi_digbib_1328.tsv	Jensen, Wilhelm	Gradiva	1903	1900
rwz_fi_digbib_1329.tsv	Keller, Gottfried	Das Fähnlein der sieben Aufrechten	1860	1860
rwz_fi_digbib_1331.tsv	Keller, Gottfried	Das verlorne Lachen	1874	1870
rwz_fi_digbib_1332.tsv	Keller, Gottfried	Der Landvogt von Greifensee	1877	1870
rwz_fi_digbib_1338.tsv	Keller, Gottfried	Frau Regel Amrain und ihr Jüngster	1856	1850
rwz_fi_digbib_1339.tsv	Keller, Gottfried	Hadlaub	1876	1870
rwz_fi_digbib_1342.tsv	Keller, Gottfried	Romeo und Julia auf dem Dorfe	1856	1850
rwz_fi_digbib_1345.tsv	Keyserling, Eduard von	Beate und Mareile	1903	1900
rwz_fi_digbib_1346.tsv	Keyserling, Eduard von	Schwüle Tage	1904	1900
rwz_fi_digbib_1865.tsv	Kurz, Hermann	Die beiden Tubus	1859	1850
rwz_fi_digbib_1868.tsv	Leskov, Semënovi? Nikolaj	Der versiegelte Engel	1873	1870
rwz_fi_digbib_1891.tsv	Marlitt, Eugenie	Blaubart	1866	1860
rwz_fi_digbib_1892.tsv	Marlitt, Eugenie	Die zwölf Apostel	1865	1860
rwz_fi_digbib_1967.tsv	Meyer, Conrad Ferdinand	Das Amulett	1873	1870
rwz_fi_digbib_1968.tsv	Meyer, Conrad Ferdinand	Das Leiden eines Knaben	1883	1880
rwz_fi_digbib_1970.tsv	Meyer, Conrad Ferdinand	Der Schuß von der Kanzel	1877	1870
rwz_fi_digbib_1971.tsv	Meyer, Conrad Ferdinand	Die Hochzeit des Mönchs	1883	1880
rwz_fi_digbib_1972.tsv	Meyer, Conrad Ferdinand	Die Richterin	1885	1880
rwz_fi_digbib_1974.tsv	Meyer, Conrad Ferdinand	Gustav Adolfs Page	1882	1880
rwz_fi_digbib_1977.tsv	Meyrink, Gustav	Blamol	1913	1910
rwz_fi_digbib_1980.tsv	Meyrink, Gustav	Coagulum	1913	1910
rwz_fi_digbib_1982.tsv	Meyrink, Gustav	Das Buch Hiopp	1913	1910
rwz_fi_digbib_2012.tsv	Meyrink, Gustav	Hilligenlei	1913	1910
rwz_fi_digbib_2026.tsv	Meysenbug, Malwida Freiin von	Unerfüllt	1907	1900
rwz_fi_digbib_2027.tsv	Meysenbug, Malwida Freiin von	Zu spät	1907	1900
rwz_fi_digbib_2031.tsv	Mörike, Eduard	Mozart auf der Reise nach Prag	1855	1850
rwz_fi_digbib_2444.tsv	Müller, Robert	Irmelin Rose	1914	1910
rwz_fi_digbib_2445.tsv	Panizza, Oskar	Aus dem Tagebuch eines Hundes	1892	1890
rwz_fi_digbib_2451.tsv	Panizza, Oskar	Der operirte Jud'	1893	1890
rwz_fi_digbib_2455.tsv	Panizza, Oskar	Eine Mondgeschichte	1890	1890
rwz_fi_digbib_2459.tsv	Panizza, Oskar	Ein scandalöser Fall	1893	1890
rwz_fi_digbib_2462.tsv	Poe, Edgar Allan	Das Geheimnis der Marie Rogêt	1842	1840
rwz_fi_digbib_2622.tsv	Raabe, Wilhelm	Die Gänse von Bützow	1866	1860
rwz_fi_digbib_2623.tsv	Raabe, Wilhelm	Die schwarze Galeere	1861	1860
rwz_fi_digbib_2624.tsv	Raabe, Wilhelm	Else von der Tanne	1865	1860
rwz_fi_digbib_2625.tsv	Raabe, Wilhelm	Frau Salome	1875	1870
rwz_fi_digbib_2650.tsv	Riehl, Wilhelm Heinrich von	Der Stadtpfeifer	1862	1860
rwz_fi_digbib_2651.tsv	Riehl, Wilhelm Heinrich von	Die Lehrjahre eines Humanisten	1862	1860
rwz_fi_digbib_2652.tsv	Riehl, Wilhelm Heinrich von	Die Werke der Barmherzigkeit	1862	1860
rwz_fi_digbib_2653.tsv	Riehl, Wilhelm Heinrich von	Gräfin Ursula	1862	1860
rwz_fi_digbib_2655.tsv	Riehl, Wilhelm Heinrich von	Meister Martin Hildebrand	1862	1860
rwz_fi_digbib_2656.tsv	Riehl, Wilhelm Heinrich von	Ovid bei Hofe	1862	1860
rwz_fi_digbib_2661.tsv	Rosegger, Peter	Ein Letztes vom alten Meister Naz	1877	1870
rwz_fi_digbib_2801.tsv	Saar, Ferdinand von	Die Pfründer	1906	1900
rwz_fi_digbib_2806.tsv	Saar, Ferdinand von	Geschichte eines Wienerkindes	1877	1870
rwz_fi_digbib_2808.tsv	Saar, Ferdinand von	Herr Fridolin und sein Glück	1877	1870
rwz_fi_digbib_2996.tsv	Schnitzler, Arthur	Casanovas Heimfahrt	1918	1910
rwz_fi_digbib_2998.tsv	Schnitzler, Arthur	Das Schicksal des Freiherrn von Leisenbohg	1904	1900
rwz_fi_digbib_3001.tsv	Schnitzler, Arthur	Der blinde Geronimo und sein Bruder	1900	1900
rwz_fi_digbib_3002.tsv	Schnitzler, Arthur	Der Ehrentag	1897	1890
rwz_fi_digbib_3016.tsv	Schnitzler, Arthur	Die Toten schweigen	1897	1890
rwz_fi_digbib_3018.tsv	Schnitzler, Arthur	Doktor Gräsler, Badearzt	1917	1910
rwz_fi_digbib_3019.tsv	Schnitzler, Arthur	Ein Abschied	1896	1890
rwz_fi_digbib_3022.tsv	Schnitzler, Arthur	Frau Beate und ihr Sohn	1913	1910
rwz_fi_digbib_3028.tsv	Schnitzler, Arthur	Reichtum	1891	1890
rwz_fi_digbib_3029.tsv	Schnitzler, Arthur	Sterben	1894	1890
rwz_fi_digbib_3140.tsv	Storm, Theodor	Bötjer Basch	1886	1880
rwz_fi_digbib_3155.tsv	Storm, Theodor	Ein Doppelgänger	1886	1880
rwz_fi_digbib_3159.tsv	Storm, Theodor	Hans und Heinz Kirch	1882	1880
rwz_fi_digbib_3167.tsv	Storm, Theodor	John Riew'	1885	1880
rwz_fi_digbib_3169.tsv	Storm, Theodor	Pole Poppenspaeler	1874	1870
rwz_fi_digbib_3170.tsv	Storm, Theodor	Psyche	1875	1870
rwz_fi_digbib_3172.tsv	Storm, Theodor	Schweigen	1883	1880
rwz_fi_digbib_3175.tsv	Storm, Theodor	Viola tricolor	1874	1870
rwz_fi_digbib_3176.tsv	Storm, Theodor	Waldwinkel	1874	1870
rwz_fi_digbib_3177.tsv	Storm, Theodor	Zur Chronik von Gieshuus	1884	1880
rwz_fi_digbib_3178.tsv	Storm, Theodor	Zur Wald- und Wasserfreude	1879	1870
rwz_fi_digbib_3180.tsv	Sudermann, Hermann	Die Magd	1917	1910
rwz_fi_digbib_3181.tsv	Sudermann, Hermann	Die Reise nach Tilsit	1917	1910
rwz_fi_digbib_3183.tsv	Sudermann, Hermann	Miks Bumbullis	1917	1910
rwz_fi_digbib_3188.tsv	Turgenev, Ivan Sergeeviç	Faust. Erzählung in neun Briefen	1856	1850
rwz_fi_digbib_3208.tsv	Verne, Jules	Die Blockade-Brecher	1875	1870
rwz_fi_digbib_3210.tsv	Verne, Jules	Eine Ueberwinterung im Eise	1875	1870
rwz_fi_digbib_3211.tsv	Verne, Jules	Ein Drama in den Lüften	1875	1870
rwz_fi_digbib_3213.tsv	Verne, Jules	Frritt-Flacc!	1887	1880
rwz_fi_digbib_3214.tsv	Verne, Jules	Martin Paz	1875	1870
rwz_fi_digbib_3215.tsv	Verne, Jules	Meister Zacharius	1875	1870
rwz_fi_digbib_3216.tsv	Verne, Jules	Zehn Stunden auf der Jagd	1885	1880
